XLOC,YLOC,COUNT(BP_ID)
-64.69509999982112,46.13007000027472,62
-64.36129000001608,45.94650999977986,275
-64.35736000000546,45.92612999971681,2701
-64.06543000043018,44.63345000023151,136
-64.02111999986468,44.52923000023424,5
-63.96790999991058,44.67169000030322,58
-63.954369999958566,44.661910000291364,179
-63.92334999999816,44.56833000029499,121
-63.91590000005575,44.58984000029814,59
-63.914629999636304,44.49520999984148,11
-63.91073999980865,44.684539999723825,347
-63.87521999992523,44.69022000008669,1225
-63.84969999997053,44.506390000286174,25
-63.831439999987474,44.745949999760015,120
-63.82049000020474,44.72472000008746,2749
-63.7910300001937,44.67231000023444,534
-63.77737999973851,44.52198000022923,102
-63.72528000037028,44.455349999693425,17
-63.721779999631664,44.46921999978365,121
-63.71360999998901,44.568009999760775,294
-63.69580000026775,44.77624999996246,3386
-63.688940000329204,44.79781000018522,1736
-63.661719999784765,44.84181000025106,39
-63.648559999774335,44.471589999953984,36
-63.64190999989809,44.52319000006544,270
-63.629800000199076,44.467459999885556,23
-63.61649000040082,44.46780000019157,17
-63.60771999981025,44.83657999989224,141
-63.59869999987273,44.46685000018,74
-63.58147000010959,44.483210000184286,44
-63.561389999886174,44.60133000013085,80
-63.55694000019188,44.54924999971742,30
-63.54985000009956,44.49296000012856,112
-63.53530000001909,44.522009999766794,141
-63.52598999965335,44.72360000012879,51
-63.52494000024024,44.501290000010385,17
-63.504710000229004,44.96736999987984,80
-63.49878000005297,44.70451999983801,191
-63.483070000056216,44.60629999968082,1576
-63.47456999980237,44.7068299997332,34
-63.46410999956611,44.74524999982929,65
-63.46028000001291,44.69891999979585,776
-63.41072999973269,44.682020000245736,562
-63.379909999788836,45.017339999948646,51
-63.376179999794736,44.69191000019619,228
-63.32802999963032,44.659409999736205,191
-63.31208000033238,44.64388999981251,58
-63.31029000022925,44.68997999992675,169
-63.30831000015533,44.984610000146255,17
-63.30554000006098,44.73875999998981,888
-63.30550999992374,44.69837999997838,24
-63.30403000034033,44.95102999969005,16
-63.27044000030213,44.66034999996522,96
-63.26908000036931,44.72844999989154,260
-63.245199999831605,44.74409000020431,85
-63.2402499996468,44.77945999980094,46
-63.22939000027574,44.91213000019006,59
-63.22539999999068,44.977360000274324,31
-63.21570999968333,44.74797999985665,107
-63.205020000191595,45.04784000031561,30
-63.20490999968842,44.77955000015064,146
-63.19965999992796,44.70113999991178,37
-63.17934000040333,44.73883000018278,57
-63.15404999970411,45.01693999969397,7
-63.15321000035328,44.7343199997425,156
