"Main_Street_Name","summary_vehicle","summary_pedestrian","day_of_week"
" QUEENS PARK ",19428,576,"Tuesday"
" AVENUE RD ",19162,807,"Saturday"
" LAIRD DR ",19817,149,"Tuesday"
" ROGERS RD ",18125,1830,"Monday"
" ROGERS RD ",16248,3586,"Saturday"
" SIMCOE ST ",8381,11428,"Thursday"
" VICTORIA ST ",12770,6969,"Tuesday"
" ROGERS RD ",18301,1341,"Wednesday"
" MCNICOLL AVE ",19593,31,"Tuesday"
" EASTERN AVE ",19159,391,"Tuesday"
" ST CLAIR AVE E ",19013,521,"Monday"
" DON MILLS RD W ",18623,836,"Wednesday"
" OLD WESTON RD ",18007,616,"Thursday"
" PARLIAMENT ST ",13840,4702,"Thursday"
" RENFORTH DR ",18493,5,"Wednesday"
" DUNDAS ST E ",11666,6698,"Saturday"
" QUEENS QUAY W ",14851,3305,"Tuesday"
" ROGERS RD ",16541,1438,"Tuesday"
" CALEDONIA RD ",17328,580,"Wednesday"
" SCARBOROUGH GOLF CLUB RD ",16128,1625,"Wednesday"
" ST GEORGE ST ",10151,7515,"Monday"
" LOWER JARVIS ST ",15391,2209,"Thursday"
" PARLIAMENT ST ",12878,4674,"Saturday"
" QUEENS PARK CRES W ",12836,4643,"Tuesday"
" BATHURST ST ",11653,5808,"Sunday"
" WILSON AVE ",16605,786,"Wednesday"
" SHERBOURNE ST ",15254,2040,"Thursday"
" LAIRD DR ",16676,431,"Wednesday"
" THE WEST MALL ",16900,107,"Wednesday"
" MARKHAM RD ",16976,30,"Monday"
" DAVENPORT RD ",15220,1769,"Saturday"
" GERRARD ST E ",15388,1322,"Saturday"
" YORKDALE RD ",16633,10,"Tuesday"
" TRETHEWEY DR ",15020,1580,"Tuesday"
" MORTIMER AVE ",14985,1550,"Wednesday"
" BROWNS LINE ",16277,170,"Tuesday"
" RICHMOND ST E ",14745,1642,"Monday"
" LAKE SHORE BLVD E ",15771,601,"Thursday"
" OVERLEA BLVD ",14180,2178,"Wednesday"
" BURNHAMTHORPE RD ",15923,369,"Monday"
" PORT UNION RD ",16226,35,"Thursday"
" TRETHEWEY DR ",15879,203,"Monday"
" FINCH AVE W ",14038,1885,"Saturday"
" HARBOUR ST ",13737,2168,"Tuesday"
" DOVERCOURT RD ",15077,691,"Saturday"
" PAPE AVE ",11017,4720,"Thursday"
" ST CLAIR AVE E ",15394,305,"Saturday"
" SHUTER ST ",8842,6779,"Tuesday"
" SHERBOURNE ST ",11814,3624,"Saturday"
" WOODBINE AVE ",14660,714,"Saturday"
" NEILSON RD ",15315,22,"Monday"
" ORIOLE PKWY ",14555,716,"Monday"
" DOVERCOURT RD ",12677,2579,"Thursday"
" THE WEST MALL ",13642,1478,"Monday"
" YORK MILLS RD ",14132,872,"Tuesday"
" GERRARD ST W ",8701,6175,"Wednesday"
" YORKDALE RD ",12798,2011,"Wednesday"
" MILNER AVE ",14371,402,"Tuesday"
" OAKWOOD AVE ",13218,1539,"Tuesday"
" PROGRESS AVE ",14428,294,"Wednesday"
" THE WEST MALL ",13727,923,"Thursday"
" QUEENS QUAY E ",13563,1030,"Monday"
" CHURCH ST ",10905,3660,"Thursday"
" RATHBURN RD ",14132,394,"Monday"
" CARLTON ST ",8517,5760,"Monday"
" PORT UNION RD ",13771,504,"Monday"
" RICHMOND ST W ",8831,5417,"Wednesday"
" MARLEE AVE ",13277,952,"Monday"
" PARK LAWN RD ",13569,531,"Tuesday"
" PARKSIDE DR ",13710,366,"Monday"
" YORKDALE RD ",14052,0,"Monday"
" DUPONT ST ",12326,1545,"Monday"
" ROGERS RD ",12624,1239,"Thursday"
" MIDLAND AVE ",13379,367,"Saturday"
" LAWRENCE AVE W ",13369,352,"Saturday"
