"stop_id","name_stop","lat","log"
"6248","bedford Hwy after Dakin Dr",44.6859,-63.6596
"6249","bedford Hwy after Division St",44.7274,-63.6655
"6250","bedford Hwy before Flamingo Dr",44.6752,-63.6476
"6251","bedford Hwy [inbound] in front of Flamingo Dr",44.6749,-63.6474
"6252","bedford Hwy before Forest Hill Dr",44.6773,-63.6494
"6253","bedford Hwy [inbound] in front of Moirs Mill Rd",44.7141,-63.678
"6254","bedford Hwy [outbound] in front of Hammonds Plains Rd",44.7156,-63.6781
"6255","bedford Hwy [inbound] in front of Hammonds Plains Rd",44.7159,-63.6783
"6256","bedford Hwy after Kearney Lake Rd",44.6828,-63.6608
"6257","bedford Hwy [inbound] in front of Meadowbrook Dr",44.7248,-63.6693
"6258","bedford Hwy [inbound] after Millview Ave",44.7082,-63.6667
"6259","bedford Hwy after Nelsons Landing Blvd",44.7129,-63.6752
"6260","bedford Hwy after Oakmont Dr",44.739,-63.6544
"6261","bedford Hwy after Rutledge St",44.7253,-63.6682
"6262","bedford Hwy [outbound] after Torrington Dr",44.6801,-63.655
"6263","bedford Hwy in front of civic address 1683",44.7372,-63.6543
"6264","bedford Hwy [inbound] after Tremont Dr",44.6782,-63.6501
"6265","bedford Hwy after and opposite Valley Rd",44.7171,-63.6772
"6266","bedford Hwy in front of Arbys",44.7389,-63.6546
"6267","cobequid Rd after Tim Hortons",44.7607,-63.6568
"6268","bedford Hwy before Kearney Lake Rd",44.6816,-63.6595
"6269","bedford Hwy in front of civic address 64",44.6656,-63.6361
"6270","bedford Hwy [inbound] in front of Dartmouth Rd",44.733,-63.6563
"6271","bedford Hwy in front of civic address 741",44.7066,-63.6644
"6272","bedford Hwy in front of civic address 612",44.6979,-63.6611
"6273","bedford Hwy before Fern Ave",44.7048,-63.6633
"6274","bedford Hwy [inbound] before Glenmont Ave",44.7095,-63.6689
"6275","bedford Hwy before Kearney Lake Rd",44.6825,-63.6609
"6276","bedford Hwy before Kent Ave",44.6907,-63.6601
"6277","bedford Hwy before Lindsay Hill",44.7215,-63.6715
"6278","bedford Hwy before Sullivans Hill",44.7229,-63.6706
"6279","bedford Hwy before Torrington Dr",44.68,-63.6548
"6280","bedford Hwy before Valley Rd",44.7171,-63.6774
"6281","bedford Hwy opposite Bedford Place Mall",44.7353,-63.655
"6282","bedford Hwy opposite civic address 1394",44.729,-63.6634
"6283","bedford Hwy opposite Fourth St",44.7239,-63.6698
"6284","bedford Hwy opposite Glenmont Ave",44.7095,-63.6686
"6285","bedford Hwy opposite Hatchery Ln",44.7292,-63.6633
"6286","bedford Hwy opposite Sherbrooke Dr",44.6697,-63.6407
